_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
Ace Bailey,RA,DEMON,OVER,6.5,,,,False,0.0,0,,0.0
Ace Bailey,REB,GOBLIN,OVER,3.5,6.078475195068184,2.578475195068184,OVER,True,0.6959957073344071,1,rotowire,0.020879871220032212
Ace Bailey,REB,DEMON,OVER,4.5,6.078475195068184,1.578475195068184,OVER,True,0.4824390790221988,1,rotowire,0.014473172370665963
Al Horford,AST,GOBLIN,OVER,2.5,1.9183606292515627,-0.5816393707484373,UNDER,False,0.0,0,rotowire,0.0
Al Horford,AST,DEMON,OVER,5.5,1.9183606292515627,-3.5816393707484373,UNDER,False,0.0,0,rotowire,0.0
Al Horford,FG3M,GOBLIN,OVER,1.5,1.5191169801211544,0.01911698012115437,OVER,True,0.006372240455723022,1,rotowire,0.00019116721367169065
Al Horford,FG3M,DEMON,OVER,4.5,1.5191169801211544,-2.9808830198788456,UNDER,False,0.0,0,rotowire,0.0
Al Horford,PA,STANDARD,UNDER,13.5,,,,False,0.0,0,,0.0
Al Horford,PA,DEMON,OVER,19.5,,,,False,0.0,0,,0.0
Al Horford,PA,GOBLIN,OVER,9.5,,,,False,0.0,0,,0.0
Al Horford,PRA,GOBLIN,OVER,18.5,16.88995886162855,-1.6100411383714501,UNDER,False,0.0,0,rotowire,0.0
Al Horford,PRA,STANDARD,UNDER,19.5,16.88995886162855,-2.61004113837145,UNDER,True,-0.7013810979881204,1,rotowire,-0.02104143293964361
Al Horford,PRA,DEMON,OVER,21.5,16.88995886162855,-4.61004113837145,UNDER,False,0.0,0,rotowire,0.0
Al Horford,PR,GOBLIN,OVER,14.5,14.971598232376987,0.47159823237698717,OVER,True,0.15591719768988366,1,rotowire,0.00467751593069651
Al Horford,PR,STANDARD,UNDER,16.5,14.971598232376987,-1.5284017676230128,UNDER,True,-0.46953000663459393,1,rotowire,-0.014085900199037818
Al Horford,PR,DEMON,OVER,24.5,14.971598232376987,-9.528401767623013,UNDER,False,0.0,0,rotowire,0.0
Al Horford,PTS,DEMON,OVER,12.5,8.834661780986238,-3.665338219013762,UNDER,False,0.0,0,rotowire,0.0
Al Horford,PTS,GOBLIN,OVER,7.5,8.834661780986238,1.334661780986238,OVER,True,0.4176872787071207,1,rotowire,0.01253061836121362
