source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Anthony Edwards,AST,2026-05-08 22:40:52,3,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.5; line=3.5; L10=3o/7u/10g; streak=5u; opp_rank=9
bettingpros,NBA,Naz Reid,BLK,2026-05-08 22:40:52,1,0.2,None,None,None,None,12,side=over; rating=0; diff=0.5; line=0.5; L10=3o/7u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Joel Embiid,BLK,2026-05-08 22:40:52,1,0.2,None,None,None,None,7,side=under; rating=0; diff=-0.5; line=1.5; L10=3o/7u/10g; streak=5u; opp_rank=7
bettingpros,NBA,Jose Alvarado,PTS,2026-05-08 22:40:52,3,0.2,None,None,None,None,16,side=under; rating=0; diff=-0.5; line=3.5; L10=6o/4u/10g; streak=1u; opp_rank=16
bettingpros,NBA,Julius Randle,REB,2026-05-08 22:40:52,7,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=6.5; L10=6o/4u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Anthony Edwards,REB,2026-05-08 22:40:52,4,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.5; line=4.5; L10=4o/6u/10g; streak=3u; opp_rank=8
bettingpros,NBA,Ayo Dosunmu,REB,2026-05-08 22:40:52,3,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=2.5; L10=7o/3u/10g; streak=1u; opp_rank=8
bettingpros,NBA,Anthony Edwards,STL,2026-05-08 22:40:52,1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.5; line=0.5; L10=3o/7u/10g; streak=4u; opp_rank=5
bettingpros,NBA,Devin Vassell,STL,2026-05-08 22:40:52,1,0.2,None,None,None,None,14,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Jalen Brunson,FG3M,2026-05-08 22:40:52,3,0.2,None,None,None,None,18,side=over; rating=0; diff=0.5; line=2.5; L10=5o/5u/10g; streak=1u; opp_rank=18
bettingpros,NBA,Mitchell Robinson,PR,2026-05-08 22:40:52,11,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.5; line=12.5; L10=6o/4u/10g; streak=2u; opp_rank=19
bettingpros,NBA,Mikal Bridges,RA,2026-05-08 22:40:52,7.5,0.2,None,None,None,None,22,side=over; rating=0; diff=0.5; line=6.5; L10=3o/7u/10g; streak=3o; opp_rank=22
bettingpros,NBA,Jaden McDaniels,AST,2026-05-08 22:40:52,2.9,0.2,None,None,None,None,9,side=over; rating=0; diff=0.4; line=2.5; L10=6o/4u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Jalen Brunson,BLK,2026-05-08 22:40:52,0.1,0.2,None,None,None,None,20,side=under; rating=0; diff=-0.4; line=0.5; L10=0o/10u/10g; streak=18u; opp_rank=20
bettingpros,NBA,Mitchell Robinson,BLK,2026-05-08 22:40:52,0.9,0.2,None,None,None,None,20,side=over; rating=0; diff=0.4; line=0.5; L10=7o/3u/10g; streak=1u; opp_rank=20
bettingpros,NBA,Mike Conley,PTS,2026-05-08 22:40:52,4.9,0.2,None,None,None,None,6,side=over; rating=0; diff=0.4; line=4.5; L10=5o/5u/10g; streak=1u; opp_rank=6
bettingpros,NBA,Mikal Bridges,PTS,2026-05-08 22:40:52,14.1,0.2,None,None,None,None,16,side=under; rating=0; diff=-0.4; line=14.5; L10=3o/7u/10g; streak=3o; opp_rank=16
bettingpros,NBA,Devin Vassell,REB,2026-05-08 22:40:52,4.4,0.2,None,None,None,None,14,side=over; rating=0; diff=0.4; line=3.5; L10=7o/3u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Karl-Anthony Towns,REB,2026-05-08 22:40:52,11.9,0.2,None,None,None,None,21,side=over; rating=0; diff=0.4; line=11.5; L10=3o/7u/10g; streak=3u; opp_rank=21
bettingpros,NBA,Josh Hart,REB,2026-05-08 22:40:52,9.9,0.2,None,None,None,None,21,side=over; rating=0; diff=0.4; line=9.5; L10=2o/8u/10g; streak=6u; opp_rank=21
bettingpros,NBA,Naz Reid,STL,2026-05-08 22:40:52,0.9,0.2,None,None,None,None,5,side=over; rating=0; diff=0.4; line=0.5; L10=5o/5u/10g; streak=2u; opp_rank=5
bettingpros,NBA,Dylan Harper,STL,2026-05-08 22:40:52,0.9,0.2,None,None,None,None,14,side=over; rating=0; diff=0.4; line=0.5; L10=7o/3u/10g; streak=1o; opp_rank=14
bettingpros,NBA,Keldon Johnson,FG3M,2026-05-08 22:40:52,0.9,0.2,None,None,None,None,2,side=over; rating=0; diff=0.4; line=0.5; L10=7o/3u/10g; streak=2u; opp_rank=2
