source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Mike Conley,AST,2026-05-15 11:26:54,3,0.2,None,None,None,None,9,side=over; rating=0; diff=0.5; line=2.5; L10=5o/5u/10g; streak=3u; opp_rank=9
bettingpros,NBA,Anthony Edwards,AST,2026-05-15 11:26:54,4,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.5; line=4.5; L10=2o/8u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Naz Reid,BLK,2026-05-15 11:26:54,1,0.2,None,None,None,None,11,side=over; rating=0; diff=0.5; line=0.5; L10=3o/7u/10g; streak=2u; opp_rank=11
bettingpros,NBA,Jaden McDaniels,BLK,2026-05-15 11:26:54,1,0.2,None,None,None,None,11,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=2u; opp_rank=11
bettingpros,NBA,Victor Wembanyama,PTS,2026-05-15 11:26:54,26,0.2,None,None,None,None,13,side=under; rating=0; diff=-0.5; line=26.5; L10=5o/5u/10g; streak=1o; opp_rank=13
bettingpros,NBA,Caris LeVert,PTS,2026-05-15 11:26:54,8,0.2,None,None,None,None,14,side=over; rating=0; diff=0.5; line=6.5; L10=3o/7u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Max Strus,PTS,2026-05-15 11:26:54,10,0.2,None,None,None,None,3,side=over; rating=0; diff=0.5; line=8.5; L10=4o/6u/10g; streak=1o; opp_rank=3
bettingpros,NBA,Julius Randle,REB,2026-05-15 11:26:54,7,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=6.5; L10=6o/4u/10g; streak=2o; opp_rank=8
bettingpros,NBA,Julius Randle,STL,2026-05-15 11:26:54,1,0.2,None,None,None,None,5,side=over; rating=0; diff=0.5; line=0.5; L10=5o/5u/10g; streak=2u; opp_rank=5
bettingpros,NBA,Tobias Harris,STL,2026-05-15 11:26:54,1,0.2,None,None,None,None,19,side=under; rating=0; diff=-0.5; line=1.5; L10=6o/4u/10g; streak=1u; opp_rank=19
bettingpros,NBA,Jarrett Allen,STL,2026-05-15 11:26:54,1,0.2,None,None,None,None,22,side=over; rating=0; diff=0.5; line=0.5; L10=7o/3u/10g; streak=1o; opp_rank=22
bettingpros,NBA,Naz Reid,FG3M,2026-05-15 11:26:54,2,0.2,None,None,None,None,11,side=over; rating=0; diff=0.5; line=1.5; L10=5o/5u/10g; streak=1o; opp_rank=11
bettingpros,NBA,James Harden,FG3M,2026-05-15 11:26:54,3,0.2,None,None,None,None,8,side=over; rating=0; diff=0.5; line=2.5; L10=5o/5u/10g; streak=3o; opp_rank=8
bettingpros,NBA,Duncan Robinson,FG3M,2026-05-15 11:26:54,3,0.2,None,None,None,None,21,side=over; rating=0; diff=0.5; line=2.5; L10=7o/3u/10g; streak=1u; opp_rank=21
bettingpros,NBA,Evan Mobley,FG3M,2026-05-15 11:26:54,1,0.2,None,None,None,None,8,side=under; rating=0; diff=-0.5; line=1.5; L10=4o/6u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Daniss Jenkins,FG3M,2026-05-15 11:26:54,1,0.2,None,None,None,None,21,side=under; rating=0; diff=-0.5; line=1.5; L10=3o/7u/10g; streak=1o; opp_rank=21
bettingpros,NBA,Dylan Harper,PR,2026-05-15 11:26:54,15,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.5; line=15.5; L10=6o/4u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Dylan Harper,RA,2026-05-15 11:26:54,7,0.2,None,None,None,None,14,side=under; rating=0; diff=-0.5; line=7.5; L10=5o/5u/10g; streak=2o; opp_rank=14
bettingpros,NBA,Tobias Harris,RA,2026-05-15 11:26:54,8,0.2,None,None,None,None,15,side=under; rating=0; diff=-0.5; line=8.5; L10=7o/3u/10g; streak=2o; opp_rank=15
bettingpros,NBA,James Harden,RA,2026-05-15 11:26:54,12,0.2,None,None,None,None,1,side=over; rating=0; diff=0.5; line=11.5; L10=4o/6u/10g; streak=1o; opp_rank=1
bettingpros,NBA,Evan Mobley,RA,2026-05-15 11:26:54,12,0.2,None,None,None,None,1,side=under; rating=0; diff=-0.5; line=12.5; L10=5o/5u/10g; streak=2o; opp_rank=1
bettingpros,NBA,Naz Reid,AST,2026-05-15 11:26:54,2.1,0.2,None,None,None,None,9,side=under; rating=0; diff=-0.4; line=2.5; L10=3o/7u/10g; streak=1u; opp_rank=9
bettingpros,NBA,Daniss Jenkins,AST,2026-05-15 11:26:54,3.9,0.2,None,None,None,None,16,side=over; rating=0; diff=0.4; line=3; L10=3o/2u/10g; streak=2o; opp_rank=16
bettingpros,NBA,De'Aaron Fox,REB,2026-05-15 11:26:54,3.9,0.2,None,None,None,None,16,side=over; rating=0; diff=0.4; line=3.5; L10=5o/5u/10g; streak=2o; opp_rank=16
bettingpros,NBA,Dean Wade,REB,2026-05-15 11:26:54,3.9,0.2,None,None,None,None,4,side=over; rating=0; diff=0.4; line=3.5; L10=7o/3u/10g; streak=2o; opp_rank=4
bettingpros,NBA,Naz Reid,STL,2026-05-15 11:26:54,0.9,0.2,None,None,None,None,5,side=over; rating=0; diff=0.4; line=0.5; L10=4o/6u/10g; streak=2o; opp_rank=5
