team,out_player,beneficiary_player,stat,games,weight,team_u,stat_u,out_canon,ben_canon
MEM,Ja Morant,John Konchar,REB,10,0.0012387813165403178,MEM,REB,ja morant,john konchar
MEM,Ja Morant,Kyle Anderson,AST,4,0.007765686543240838,MEM,AST,ja morant,kyle anderson
MEM,Ja Morant,Kyle Anderson,PTS,4,0.005168203712441387,MEM,PTS,ja morant,kyle anderson
MEM,Ja Morant,Kyle Anderson,REB,4,0.002122462784800597,MEM,REB,ja morant,kyle anderson
MEM,Ja Morant,Olivier-Maxence Prosper,AST,10,0.007174676897128525,MEM,AST,ja morant,olivier maxence prosper
MEM,Ja Morant,Olivier-Maxence Prosper,PTS,10,0.004930111062012692,MEM,PTS,ja morant,olivier maxence prosper
MEM,Ja Morant,Olivier-Maxence Prosper,REB,10,0.0019428898036799867,MEM,REB,ja morant,olivier maxence prosper
MEM,Ja Morant,Rayan Rupert,AST,10,0.011620757214083394,MEM,AST,ja morant,rayan rupert
MEM,Ja Morant,Rayan Rupert,PTS,10,0.007515156032259986,MEM,PTS,ja morant,rayan rupert
MEM,Ja Morant,Rayan Rupert,REB,10,0.0032800156709065624,MEM,REB,ja morant,rayan rupert
MEM,Ja Morant,Scotty Pippen Jr.,AST,10,0.010010023549881645,MEM,AST,ja morant,scotty pippen
MEM,Ja Morant,Scotty Pippen Jr.,PTS,10,0.005084365002064197,MEM,PTS,ja morant,scotty pippen
MEM,Ja Morant,Scotty Pippen Jr.,REB,10,0.0017966026594360579,MEM,REB,ja morant,scotty pippen
MEM,Ja Morant,Taj Gibson,AST,7,0.0024245171335684668,MEM,AST,ja morant,taj gibson
MEM,Ja Morant,Taj Gibson,PTS,7,0.001584999951829937,MEM,PTS,ja morant,taj gibson
MEM,Ja Morant,Taj Gibson,REB,7,0.0006878315678129865,MEM,REB,ja morant,taj gibson
MEM,Ja Morant,Tyler Burton,AST,10,0.009964743740345635,MEM,AST,ja morant,tyler burton
MEM,Ja Morant,Tyler Burton,PTS,10,0.006680683550980794,MEM,PTS,ja morant,tyler burton
MEM,Ja Morant,Tyler Burton,REB,10,0.0027254101052412378,MEM,REB,ja morant,tyler burton
MEM,Ja Morant,Vince Williams Jr.,AST,10,0.011069630334516705,MEM,AST,ja morant,vince williams
MEM,Ja Morant,Vince Williams Jr.,PTS,10,0.005295294316610984,MEM,PTS,ja morant,vince williams
MEM,Ja Morant,Vince Williams Jr.,REB,10,0.0021250397399958476,MEM,REB,ja morant,vince williams
MEM,Ja Morant,Walter Clayton Jr.,AST,10,0.013583609464059778,MEM,AST,ja morant,walter clayton
MEM,Ja Morant,Walter Clayton Jr.,PTS,10,0.006100444115078059,MEM,PTS,ja morant,walter clayton
MEM,Ja Morant,Walter Clayton Jr.,REB,10,0.0022707701011233775,MEM,REB,ja morant,walter clayton
MEM,Jaylen Wells,Cam Spencer,AST,58,0.005688211849017319,MEM,AST,jaylen wells,cam spencer
MEM,Jaylen Wells,Cam Spencer,PTS,58,0.009390855144602204,MEM,PTS,jaylen wells,cam spencer
MEM,Jaylen Wells,Cam Spencer,REB,58,0.005152513947726029,MEM,REB,jaylen wells,cam spencer
MEM,Jaylen Wells,Cedric Coward,AST,47,0.004726842550726108,MEM,AST,jaylen wells,cedric coward
MEM,Jaylen Wells,Cedric Coward,PTS,47,0.010057289361905886,MEM,PTS,jaylen wells,cedric coward
MEM,Jaylen Wells,Cedric Coward,REB,47,0.006297751906350232,MEM,REB,jaylen wells,cedric coward
