source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Chet Holmgren,AST,2026-05-02 22:30:30,1.5,0.3,0.5031,0.4969,,,,n_books=3
oddsapi,NBA,Luguentz Dort,AST,2026-05-02 22:30:30,1.5,0.3,0.3858,0.6142,,,,n_books=3
oddsapi,NBA,Rui Hachimura,AST,2026-05-02 22:30:30,0.5,0.2,0.6545,0.3455,,,,n_books=2
oddsapi,NBA,Shai Gilgeous-Alexander,PTS,2026-05-02 22:30:30,31.5,0.6,0.5085,0.4915,,,,n_books=6
oddsapi,NBA,Austin Reaves,PTS,2026-05-02 22:30:30,21.5,0.5,0.517,0.483,,,,n_books=5
oddsapi,NBA,LeBron James,PTS,2026-05-02 22:30:30,20.5,0.7,0.497,0.503,,,,n_books=7
oddsapi,NBA,Chet Holmgren,PTS,2026-05-02 22:30:30,16.5,0.6,0.5192,0.4808,,,,n_books=6
oddsapi,NBA,Jalen Williams,PTS,2026-05-02 22:30:30,16.5,0.2,0.4821,0.5179,,,,n_books=2
oddsapi,NBA,Ajay Mitchell,PTS,2026-05-02 22:30:30,15.5,0.4,0.4837,0.5163,,,,n_books=4
oddsapi,NBA,Rui Hachimura,PTS,2026-05-02 22:30:30,11.5,0.6,0.5108,0.4892,,,,n_books=6
oddsapi,NBA,Marcus Smart,PTS,2026-05-02 22:30:30,10.5,0.6,0.4955,0.5045,,,,n_books=6
oddsapi,NBA,Deandre Ayton,PTS,2026-05-02 22:30:30,10.5,0.6,0.5024,0.4976,,,,n_books=6
oddsapi,NBA,Isaiah Hartenstein,PTS,2026-05-02 22:30:30,7.5,0.5,0.5252,0.4748,,,,n_books=5
oddsapi,NBA,Luke Kennard,PTS,2026-05-02 22:30:30,7.5,0.4,0.4867,0.5133,,,,n_books=4
